ID,MSMS
1,"47.01221,9.8034; 68.97911,18.1460; 69.09240,8.6003; 71.04888,413.4674; 71.09915,7.5604; 71.11044,15.5518; 72.05228,39.2334; 73.06381,32.4159; 85.51283,25.2667; 91.03049,220.6680; 92.03378,14.0820; 92.06154,999.0000; 92.07419,9.4043; 93.02746,66.9546; 96.02798,24.3511; 97.51241,30.6721; 97.53918,11.1329; 98.52057,31.6779; 101.03835,208.5249; 101.54041,35.9287; 104.04373,47.8182; 105.06952,202.5310; 117.06938,247.7346; 118.07715,229.6480; 121.10080,218.4681; 134.10817,302.7297; 137.13205,315.4849; 143.06174,24.4988; 145.01129,10.0419; 147.07915,64.8559; 147.11616,269.0230; 149.14329,19.8172; 152.03363,34.9997; 155.14261,47.5296; 155.17890,17.0544; 157.06421,10.5062; 160.99107,14.4830; 163.05370,90.7988; 165.06940,268.5855; 170.01848,11.8850; 171.02579,58.6861; 172.02959,16.9156; 172.08700,13.0639; 177.08821,48.7724; 178.09638,13.0547; 180.06477,23.7792; 182.01925,12.9176; 183.11615,17.0981; 187.10732,22.4037; 189.04633,11.5216; 192.05622,166.4965; 192.11364,17.6397; 195.02661,44.6851; 195.07985,235.2802; 196.08375,31.1145; 197.04138,654.2141; 198.04903,938.6470; 198.12740,18.2272; 198.13935,57.7790; 199.03720,30.8539; 199.05216,161.8985; 200.04495,39.2362; 200.06121,86.9139; 201.06912,119.7464; 202.07699,376.9795; 203.07229,8.7794; 203.08481,591.6676; 204.09235,571.6156; 205.08653,51.3514; 205.09634,69.1189; 206.09162,9.5572; 206.09642,14.8178; 206.20111,41.5609; 207.07964,23.4541; 207.09397,12.5744; 207.21026,32.3871; 208.08730,4.8613; 209.09550,69.1890; 209.13184,249.5911; 210.10329,199.5984; 211.10673,43.4729; 221.12115,44.7856; 221.15242,19.6204; 223.20495,14.0074; 224.11942,17.2382; 225.08778,16.1906; 243.17404,36.4230; 246.23327,104.3172; 252.96436,1.7299; 258.23369,67.8418; 261.18496,12.6281; 286.04580,5.4006; 327.01797,11.4727; 339.07315,2.7470; 356.09207,3.4614; 369.15129,4.7549; 397.02535,6.4512; 414.05772,2.3064; 415.06129,7.1318"
2,"71.05625,3.2964; 81.10234,7.0166; 85.14624,63.5124; 123.03650,0.7898; 140.11928,3.1050; 174.05480,4.7780; 193.51507,7.0235; 234.11107,6.9168; 278.09140,14.7074; 287.27274,999.0000; 338.29523,34.2327; 414.42113,78.1840; 419.35848,2.5695"
3,"57.09114,140.7911; 63.02919,45.5713; 63.92822,68.7612; 73.06352,835.7657; 73.07138,365.3960; 80.51858,87.9180; 82.53432,117.9899; 83.10905,414.8163; 85.06435,209.3623; 87.02257,566.9035; 96.05600,34.3172; 103.55632,54.8102; 105.03291,121.2109; 107.58056,33.3647; 107.58802,92.4160; 108.03356,97.2281; 113.03821,367.4617; 118.07693,732.2308; 120.03379,90.6661; 121.54315,67.3854; 132.03892,116.9633; 135.02269,88.7943; 140.05721,25.6765; 146.01388,53.6957; 146.10688,92.7060; 148.09398,85.5371; 159.02193,117.7141; 191.14226,267.9533; 200.08676,98.1902; 206.16561,94.5716; 215.05659,87.7200; 215.17800,149.8218; 215.53333,41.6997; 217.19413,523.0231; 221.10100,547.4977; 221.10951,678.1703; 232.12376,999.0000; 233.12991,257.2600; 237.16300,631.4064; 244.12404,236.9211; 252.18581,187.6923; 258.15958,122.5985; 271.00054,132.6656; 281.07802,687.5573; 281.08749,456.8270; 282.08247,87.8632; 314.01940,63.0445; 355.09307,131.8601; 355.10150,517.6719; 355.11166,551.9191; 387.03721,65.4532; 409.33185,769.9229; 429.12535,660.2784; 429.16463,140.3832; 429.17847,287.8511"
4,"42.05443,999.0000; 43.09612,509.3161; 58.12517,46.9957; 71.12683,743.0837; 71.30489,75.3634; 74.07275,951.5666; 77.03820,147.1100; 84.54876,123.9941; 88.08718,763.1387; 105.06945,371.6622; 141.17447,41.5293; 172.20998,85.1235; 211.24148,94.4021"
5,"41.03848,29.2287; 42.04617,9.5162; 43.05403,579.3301; 43.12704,0.2322; 43.13117,0.4666; 43.13928,0.0520; 43.14537,0.2830; 43.15167,0.4464; 43.16489,0.0483; 44.05748,13.4734; 55.05394,106.1730; 56.06164,12.3495; 57.06958,965.6370; 57.10676,0.0828; 57.15278,0.6328; 57.15831,0.7063; 57.16774,0.4962; 57.17540,0.3819; 57.18187,0.7717; 57.18962,0.0951; 57.20572,0.4508; 57.23507,0.2849; 58.07301,13.0007; 63.08988,0.5616; 69.06967,201.5735; 70.07721,97.6787; 71.08528,999.0000; 71.16985,1.1336; 71.18450,0.8180; 71.19429,1.0326; 71.20348,0.2871; 71.21071,0.5867; 71.23716,0.3291; 71.24251,0.2766; 71.25404,0.2318; 72.08863,19.9127; 82.07730,3.9447; 83.08516,46.1619; 84.09288,49.9841; 85.10082,540.9511; 85.17430,0.9087; 85.19434,0.3624; 85.20156,0.4713; 85.20890,0.5097; 85.23267,0.3425; 85.23766,0.2803; 85.26792,0.2214; 86.10426,5.2839; 89.57224,1.1278; 97.10079,0.8964; 99.03856,1.7106; 99.11642,43.4464; 99.17767,0.9319; 100.11979,1.6958; 110.10834,3.8342; 111.11641,15.9161; 112.12377,3.5554; 113.13211,13.6391; 127.10325,0.1990; 127.14763,16.2588; 128.11165,0.5280; 128.15092,1.2542; 155.17885,2.6394; 169.19462,3.0265; 172.12394,0.7353; 174.05690,0.0747; 178.24773,13.0981; 179.16576,10.2075; 210.98218,0.0150; 214.17050,0.1066; 254.19849,0.0930"
6,"43.11287,34.7090; 57.11016,157.2430; 58.08285,95.8675; 85.13906,6.8395; 85.16597,67.2663; 109.11474,130.2433; 125.14929,169.0093; 145.10071,121.5559; 154.07704,325.8114; 181.06416,887.1857; 182.15390,5.4665; 191.14262,90.2930; 195.07968,999.0000; 196.08751,385.0766; 214.13466,33.8215"
7,"55.08633,958.1452; 64.99643,547.3682; 98.99916,386.5062; 110.12306,878.0313; 139.16584,125.4359; 151.00652,428.7517; 158.09591,227.7866; 164.92866,73.5608; 169.05928,174.0527; 177.48392,96.0684; 197.09607,83.0782; 223.11142,534.4064; 224.11887,999.0000; 225.12232,231.7623; 243.13717,209.6557"
8,"39.02278,12.3169; 39.08183,0.0048; 41.07081,0.2825; 41.11382,0.5587; 41.12143,0.5498; 41.15323,0.2338; 41.16021,0.1797; 41.16290,0.1616; 53.03836,19.0113; 54.04193,0.5464; 55.05394,566.6195; 55.09820,0.9740; 55.10142,1.9728; 55.14127,0.6980; 55.15021,0.7428; 55.15792,0.7151; 55.16452,0.6657; 55.17229,0.5530; 55.17943,0.4395; 55.18731,0.4786; 55.19504,0.4157; 55.20234,0.2864; 55.20957,0.3032; 55.21730,0.2491; 55.22362,0.2309; 55.23108,0.1779; 55.23554,0.2121; 55.24027,0.1724; 55.24664,0.1091; 55.25109,0.1505; 55.26386,0.1867; 55.27085,0.1640; 55.27634,0.1091; 55.29173,0.1604; 55.30312,0.1400; 55.30877,0.1070; 55.32681,0.0656; 55.33679,0.0968; 57.11765,19.7651; 58.06779,0.0720; 59.08918,0.0689; 65.03832,5.1763; 66.04605,0.8999; 67.05391,162.7080; 67.12726,0.3824; 67.13585,0.2494; 67.14427,0.2950; 67.14889,0.2484; 67.15201,0.1293; 67.16194,0.1766; 67.16862,0.1430; 68.06159,75.7814; 68.10579,0.2989; 68.14190,0.1158; 69.04211,0.1849; 69.05296,0.1763; 69.06981,999.0000; 69.16119,0.4602; 69.17737,1.7230; 69.18575,1.4435; 69.19338,1.9442; 69.20208,2.3528; 69.21013,1.3066; 69.21865,2.1651; 69.22745,1.3488; 69.23519,1.0169; 69.24395,1.3264; 69.25230,1.2134; 69.26018,0.9207; 69.26861,0.8670; 69.28465,0.6795; 69.28983,0.7887; 69.29526,0.7639; 69.30144,0.6881; 69.30482,0.8000; 69.31149,0.5696; 69.31428,0.5853; 69.31649,0.3656; 69.32123,0.7054; 69.32914,0.6790; 69.33717,0.5744; 69.34432,0.5981; 69.34806,0.3394; 69.35070,0.4080; 69.35184,0.3912; 69.36195,0.2797; 69.36556,0.5575; 69.36989,0.3994; 69.37326,0.5645; 69.37792,0.4197; 69.38170,0.5536; 69.38451,0.4326; 69.38893,0.4862; 69.39286,0.4441; 69.39713,0.3943; 69.40583,0.3900; 69.41073,0.3004; 69.41360,0.3679; 69.41932,0.4908; 69.42873,0.2308; 69.43803,0.3796; 69.44155,0.2466; 69.44578,0.3355; 69.45433,0.3204; 69.45746,0.2565; 69.46066,0.2627; 69.46383,0.2320; 69.46817,0.3661; 69.47659,0.3080; 69.48098,0.2798; 69.48944,0.3092; 69.49383,0.3677; 69.49781,0.2221; 69.50273,0.3385; 69.50529,0.3136; 69.50815,0.2755; 69.51241,0.2292; 69.51438,0.3045; 69.51774,0.2549; 69.53298,0.2479; 69.54340,0.2688; 69.54794,0.1779; 69.55082,0.2126; 69.55908,0.1998; 69.56337,0.2079; 69.57119,0.1105; 69.57708,0.1800; 69.58471,0.1822; 69.59222,0.2064; 69.60180,0.1531; 69.60965,0.1117; 69.63044,0.1186; 69.63503,0.1091; 69.64017,0.0916; 69.66183,0.0826; 69.66641,0.1071; 69.68234,0.1325; 69.69172,0.0901; 69.70443,0.0914; 69.71414,0.1075; 69.77066,0.1002; 69.78748,0.0940; 69.80896,0.0452; 69.82566,0.0319; 69.92279,0.0645; 70.04588,0.0650; 70.04954,0.1220; 70.05698,0.1504; 70.07705,335.8487; 70.16972,0.3854; 70.17347,0.5218; 70.17642,0.3676; 70.18578,0.5778; 70.19227,0.3765; 70.21126,0.4482; 70.21819,0.3091; 70.22100,0.2297; 70.22799,0.2168; 70.23568,0.2178; 70.24142,0.1494; 70.24431,0.1362; 70.24872,0.1620; 70.25397,0.1387; 70.26131,0.1581; 70.26964,0.1180; 70.27741,0.1456; 70.28673,0.1054; 70.29306,0.1678; 70.29819,0.1467; 70.32349,0.1107; 70.34579,0.0803; 70.37391,0.0815; 70.44901,0.0717; 70.63029,0.0851; 70.68987,0.1018; 70.70977,0.0651; 70.72241,0.1156; 70.79531,0.0753; 73.06217,0.5075; 77.03828,6.3647; 79.05390,18.6878; 81.06961,69.0528; 81.14118,0.2214; 81.14654,0.2532; 81.15949,0.1988; 82.07723,70.4710; 82.13148,0.4635; 82.15488,0.2251; 82.16558,0.1727; 83.08520,895.0661; 83.14360,2.0151; 83.17705,0.6146; 83.18632,0.8016; 83.19233,0.9787; 83.20344,1.2173; 83.21276,1.0756; 83.22125,1.0413; 83.23043,1.0742; 83.23929,0.6909; 83.24855,0.6243; 83.25779,0.5152; 83.26677,0.4635; 83.27607,0.3734; 83.28579,0.3938; 83.29310,0.3708; 83.29835,0.1825; 83.30231,0.3623; 83.31233,0.2028; 83.31689,0.2310; 83.32542,0.3083; 83.32976,0.2919; 83.33426,0.2391; 83.33928,0.1961; 83.34358,0.2293; 83.34778,0.2287; 83.35259,0.2476; 83.35599,0.2481; 83.37460,0.1216; 83.37870,0.1495; 83.39362,0.0803; 83.39695,0.1474; 83.40848,0.1115; 83.41277,0.1492; 83.42140,0.1391; 83.42497,0.1687; 83.43712,0.1318; 83.45187,0.1365; 83.45777,0.1239; 83.46440,0.0901; 83.47525,0.1294; 83.48037,0.0791; 83.49438,0.0668; 83.51123,0.1099; 84.09275,261.7664; 84.17827,0.2731; 84.18499,0.5888; 84.19342,0.2548; 84.20009,0.3045; 84.21148,0.3876; 84.22217,0.0756; 84.22690,0.1991; 84.23043,0.2801; 84.23888,0.1971; 84.25775,0.1318; 84.27826,0.0932; 84.98318,0.0543; 85.07088,0.1003; 90.02254,0.2910; 91.05392,4.6196; 92.00310,0.0683; 93.06955,6.8216; 95.08529,139.4172; 95.18329,0.2277; 95.19306,0.2669; 95.21127,0.2314; 96.09231,9.3115; 97.10089,533.0688; 97.19199,0.1685; 97.19982,0.7699; 97.20857,0.6568; 97.21645,0.6495; 97.22893,0.8153; 97.23867,0.5694; 97.24750,0.5347; 97.25731,0.4526; 97.26802,0.3409; 97.27241,0.1742; 97.27822,0.3067; 97.28631,0.2467; 97.29761,0.1897; 97.30256,0.1569; 97.32769,0.1191; 97.33531,0.1317; 97.34548,0.0772; 97.35162,0.0947; 97.35611,0.1090; 97.36219,0.0963; 97.36701,0.1142; 97.38445,0.1114; 97.40956,0.0926; 97.42294,0.1111; 97.43522,0.0951; 98.10640,25.0305; 98.17471,0.1231; 98.18104,0.1573; 109.10085,96.8078; 109.18241,0.1907; 109.18815,0.1648; 109.20440,0.2178; 109.21006,0.1186; 109.99175,0.1459; 110.10847,69.9340; 110.13333,1.0269; 110.16455,0.3446; 110.17227,0.3318; 110.19199,0.3144; 110.19978,0.2776; 110.20825,0.0823; 110.22140,0.1378; 110.22938,0.0807; 110.24569,0.0649; 111.11663,452.4774; 111.16886,0.4524; 111.22252,1.3949; 111.23391,0.5436; 111.24020,0.7808; 111.25301,0.8293; 111.26446,0.5760; 111.27331,0.5800; 111.28471,0.3711; 111.29390,0.4159; 111.30559,0.3662; 111.31705,0.2243; 111.32691,0.2227; 111.33305,0.1280; 111.33770,0.1605; 111.35049,0.1588; 111.35729,0.1402; 111.36663,0.1741; 111.37298,0.1671; 111.38160,0.1682; 111.38682,0.0912; 111.40530,0.1619; 111.41102,0.1508; 111.41610,0.1348; 111.42087,0.0595; 111.43270,0.1429; 111.44385,0.1157; 111.46491,0.0563; 111.49562,0.0729; 111.52490,0.0874; 112.12348,139.8278; 112.18836,0.2300; 112.19565,0.3142; 112.21104,0.4546; 112.21649,0.3149; 112.22035,0.2553; 112.22789,0.2416; 112.23192,0.2357; 112.23794,0.2608; 112.24739,0.2244; 112.25281,0.1328; 112.25856,0.0587; 112.26883,0.0759; 123.02286,0.1257; 123.11645,28.3242; 125.09546,0.1935; 125.13221,113.7399; 125.22057,0.2320; 125.22906,0.3030; 125.24365,0.3141; 125.25070,0.1794; 125.26034,0.2449; 125.26959,0.1252; 125.29919,0.0925; 126.13906,21.4671; 126.15599,0.6203; 127.11144,0.2313; 137.13202,5.8310; 139.14774,25.8667; 139.21076,0.2690; 139.24032,0.1146; 146.06523,0.0553; 147.07723,0.3919; 151.14767,2.8970; 152.15510,2.1965; 153.16340,34.1568; 153.18174,0.5812; 153.22962,0.3355; 153.23720,0.2158; 154.17082,16.1196; 165.16327,1.7948; 167.17893,5.5550; 168.18640,1.7195; 196.21805,2.9400; 210.23370,0.3641; 219.98333,0.4584; 220.11412,0.0116; 221.10621,0.2680; 221.11163,0.1370; 221.98000,0.2835; 234.13927,0.4135; 280.31166,0.8608; 281.07202,0.4490; 281.09378,0.1765; 291.91788,0.5576; 293.91491,0.2984; 295.91167,0.0448; 341.04809,0.2793; 355.09485,0.3008; 397.99281,0.0191"
